kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
RB Mendorong Hilirisasi,Persentase tersedianya data PDB menurut provinsi sebagai data dukung dalam evaluasi pelaksanaan hilirisasi,Penyusunan publikasi Produk Domestik Regional Bruto Provinsi-Provinsi di Indonesia menurut Lapangan Usaha tahun 2020-2024,Laporan,DNP,0,1,1,1,0.5,1,0,0,Target Tercapai,Target Tercapai,Tidak Tercapai,Tidak Tercapai,
RB Mendorong Hilirisasi,Jumlah Draft KBLI 2025,Penyusunan Draft KBLI 2025,Draft Publikasi,DPMSS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Hilirisasi,jumlah laporan pembinaan klasifikasi kepada masyarakat dan K/L/D/I untuk mengimplementasikan KBLI dalam pengajuan perizinian usaha,Pembinaan klasifikasi kepada masyarakat maupun K/L/D/I dalam implementasi KBLI untuk perizinan usaha,Laporan,DPMSS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Hilirisasi,Ketersediaan data industri dalam rangka mewujudkan kebijakan berbasis data untuk mendorong hilirisasi,Pengolahan STPIM 2023,Publikasi,DSI,0,0,1,1,0,0,1,0,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,
RB Mendorong Hilirisasi,Jumlah laporan kegiatan persiapan SE2026 yang terlaksana,Pelaksanaan Geladi Bersih Pendataan Sensus Ekonomi 2026,Laporan,DSD,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
PDN,Tersedianya data statistik industri dalam rangka mewujudkan kebijakan berbasis data untuk mendukung kebijakan Program P3DN,Pelaksanaan survei Industri Besar Sedang,Publikasi,DSI,0,0,1,5,0,0,2,5,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah publikasi CERDAS terkait kesehatan mental,Melakukan pengolahan data dan analisis untuk menjawab fenomena kesehatan mental dan bagaimana keterkaitan fasilitas kesehatan pendukungnya,Publikasi,DAPS,0,1,1,1,0,1,1,1,Tidak Ada Target,Target Tercapai,Target Tercapai,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Laporan,DAPS,0,1,1,1,1,1,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah BRS Indeks Pembangunan Manusia,Melakukan Penyusunan BRS Indeks Pembangunan Manusia 2025 ,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah laporan kajian kemiskinan multidimensi,Melakukan kajian penyusunan indikator dimensi kesehatan dalam penghitungan kemiskinan multidimensi,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah set data dan analisis indikator kesehatan,"Melakukan survei Sosial Ekonomi Nasional Maret dan September 2025  

Melakukan Penyusunan publikasi statistik kesehatan hasil Susenas 2025 


","Persen 
Buku 

Publikasi",Dir. Kesra,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Daftar data yang dibutuhkan untuk pencegahan dan penanganan TBC dan Stunting,"Melakukan/mengikuti koordinasi dengan Kementerian Kesehatan, Kemenko PMK, dan K/L terkait lainnya",Persen,Dir. Kesra,0,0,0.3,1,0,0,0.3,0.7,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Data tenaga kesehatan yang mendapatkan bantuan perumahan,Memadankan data tenaga kesehatan dengan data yang tersedia di DTSEN,laporan/data,Dir. Kesra,0.5,1,1,1,0.5,1,1,0.9,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Data JKN (BPJS) dengan indikator sosek,Melakukan pemadanan data JKN dengan data DTSEN dan melakukan pemutahiran,Data,Dir. Kesra,0.1,0.5,0.75,1,0.1,0.5,0.75,0.9,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,"1) Jumlah Desa/Kelurahan menurut ketersediaan dan akses ke fasilitas kesehatan;
2) Jumlah infastruktur kesehatan",Melakukan pengumpulan data Pemutakhiran Data Perkembangan Desa 2025 (Potensi Desa 2025),set data,Hansos,0.1,0.5,0.75,1,0.315789474,0.684210526,0.842105263,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Persentase diseminasi data kesehatan melalui Website BPS,Diseminasi data kesehatan pada website BPS sesuai jadwal rilis yang ditetapkan,Persentase,DDS,0,0,0,1,0,0,0,100,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,"1. Dokumen
 metodologi/framework SAE 5 indikator
 2. Paket estimasi granular kab/kota untuk 5 indikator
 3. Validasi lapangan & peer review pakar
 4. Publikasi & diseminasi hasil

1. Belum tersedianya metodologi baku untuk menghasilkan beberapa indikator demografi tingkat kabupaten/kota.
2. Data terdisagregasi pada level kabupaten/kota memiliki tingkat akurasi rendah sehingga tidak memenuhi kelayakan publikasi.","Melakukan:
 TW1: metodologi & SOP selesai.
 TW2: estimasi kabupaten/kota + ǪC.
 TW3: validasi lapangan, peer review, policy brief
 TW4: publikasi, diseminasi..
Mempublikasikan angka resmi hasil kajian SAE indikator demografi tingkat kabupaten/kota.",#NAME?,Duknaker,0,0,0,0,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,
RB Mendukung Ketahanan Pangan Nasional,Jumlah publikasi CERDAS terkait ketahanan pangan,Melakukan pengolahan data dan analisis untuk menjawab fenomena kecukupan dan ketahanan pangan bagi anak,Publikasi,DAPS,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Jumlah publikasi CERDAS terkait ketahanan pangan,Melakukan pengolahan data dan analisis untuk menjawab fenomena kebiasaan merokok dan ketahanan pangan keluarga pada berbagai kelas ekonomi,Publikasi,DAPS,1,1,1,1,1,0,0,0,Target Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung ketahanan pangan nasional,Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung ketahanan pangan nasional,Laporan,DAPS,0,1,1,1,1,1,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung ketahanan pangan nasional,Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung ketahanan pangan nasional,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Jumlah laporan pemeriksaan data melalui pengecekan anomali data pada survei MBG yang mendukung ketahanan pangan nasional,Melakukan pemeriksaan data melalui pengecekan anomali data pada survei MBG yang mendukung ketahanan pangan nasional,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Jumlah publikasi analisis isu terkini sosial ekonomi pertanian,Melakukan pengolahan data dan analisis untuk menjawab isu terkini terkait kesejahteraan petani,Publikasi,DAPS,0,0,0,1,10,30,50,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Persentase tersedianya data Indeks Kesejahteraan Petani di Indonesia,Melakukan Survei Kesejahteraan Petani (SKP) Tahun 2025,Publikasi dan bahan rilis,SP2K,0,0,0,1,0.25,0.5,0,1,Target Tercapai,Target Tercapai,Tidak Ada Target,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,"1. Jumlah pemotongan per jenis ternak (sapi potong lokal, sapi ex-impor, sapi perah, kerbau, kuda, kambing, domba).
2. Rata-rata produksi karkas/daging/jeroan/kulit basah/daging variasi per jenis ternak per ekor.
",Menyediakan data pemotongan dan rata-rata produksi per jenis ternak sesuai dengan LPTB kepada Setditjen PKH-Kementan dan Badan Pangan Nasional secara bulanan.,Laporan Pengiriman Data/Tabel terkait,SP2K,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,"1. Angka konversi gabah dari kualitas GKP menjadi kualitas GKG
 2. Angka konversi gabah dari kualitas GKG ke beras",Melakukan Survei Konversi Gabah ke Beras (SKGB) Tahap I Tahun 2025,Laporan,STPHP,0,0,1,2,0,0,1,2,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Data prduksi padi bulanan yang tersedia tepat waktu,Menyediakan data produksi padi sesuai dengan Kerangka Sampel Area kepada Perum BULOG secara bulanan,Laporan Pengiriman Data,STPHP,0,0,3,6,0,0,3,6,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Jumlah matriks IPH komoditas pangan strategis dengan level harga,Melakukan penghitungan klasifikasi level harga dan level IPH guna mendapatkan analisis kuadran IPH komoditas pangan strategis.,Dokumen,DSH,0,1,2,3,0,1,1,1,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Hasil pengembangan dan penyempurnaan dashboard IPH,Melakukan pengembangan dan penyempurnaan dashboard IPH dalam hal pengolahan dan diseminasi proxy inflasi untuk komoditas pangan strategis.,Dokumen,DSH,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,
RB Mendukung Ketahanan Pangan Nasional,Persentase hasil simulasi dan uji statistik terhadap perluasan cakupan IPH komoditas pangan strategis yang mendukung akurasi dan konsistensi data,Melakukan penghitungan simulasi dan uji statistik terhadap perluasan cakupan IPH komoditas pangan strategis yang mendukung akurasi dan konsistensi data.,Dokumen,DSH,0,0,0,1,0,0,0,0.8,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,
RB Mendukung Ketahanan Pangan Nasional,"1. Total volume konsumsi bahan pokok non rumah tangga menurut jwnis usaha/institusi nasional
  2. Total volume konsumsi bahan pokok non rumah tangga menurut provinsi
  3. Total nilai konsumsi bahan pokok non rumah tangga nasional",Melakukan survei konsumsi bahan pokok non rumah tangga (VBPNRT) tahun 2025,Laporan,KTIP,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Jumlah publikasi CERDAS terkait peningkatan akses, kualitas dan mutu pendidikan",Melakukan pengolahan data dan analisis untuk menjawab faktor penentu preferensi orang tua dalam memilih sekolah bagi anak,Publikasi,DAPS,0,0,1,1,0,0,1,0,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Jumlah publikasi CERDAS terkait peningkatan akses, kualitas dan mutu pendidikan",Melakukan pengolahan data dan analisis untuk menjawab tema mismatch antara pendidikan dan pekerjaan bagi pemuda,Publikasi,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Jumlah publikasi CERDAS terkait peningkatan akses, kualitas dan mutu pendidikan",Melakukan pengolahan data dan analisis untuk menjawab tema kemudahan akses tenaga pendidik,Publikasi,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung ketahanan pangan nasional,"Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung dan mendorong peningkatan akses, kualitas, dan mutu pendidikan",Laporan,DAPS,0,1,1,1,1,1,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung ketahanan pangan nasional,"Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan akses, kualitas, dan mutu pendidikan",Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Jumlah laporan kajian kemiskinan multidimensi,Melakukan kajian penyusunan indikator dimensi pendidikan dalam penghitungan kemiskinan multidimensi,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Jumlah BRS Indeks Pembangunan Manusia,Melakukan Penyusunan BRS Indeks Pembangunan Manusia 2025,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Persentase tersedianya publikasi berisi data dan analisis indikator pendidikan yang ter-update serta tersedianya data indikator pendidikan yang ter-update untuk kebutuhan monitoring pembangunan RPJMN 2025-2029, SDGs, dan berbagai kebutuhan data pendidikan untuk kebijakan terkait pendidikan",Melakukan survei Sosial Ekonomi Nasional Maret dan September 2025,Persen,Dir. Kesra,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Tersedianya Data DTSEN penduduk usia sekolah dan status bersekolah serta peringkat kesejahteraannya,"1. BPS menyediakan data penduduk usia sekolah dan status bersekolah serta peringkat kesejahteraannya yaitu Desil 1 dan 2, sebagai sumber data verifikasi calon siswa Program Sekolah Rakyat Tahap 1A, 1B, 1C untuk BPS Provinsi/Kabupaten/Kota lokasi sekolah rakyat.
2. BPS Provinsi/Kabupaten/Kota sebagai tim satgas verifikasi calon siswa sekolah rakyat bersama Dinsos, pendamping PKH, dan Sentra Penyelenggara sekolah rakyat (Surat Sekjen Kemensos Nomor 1486/1/DL.03/05/2025​)",Set Data,Dir. Kesra,0,2,4,4,0,2,4,0,Tidak Ada Target,Target Tercapai,Target Tercapai,Tidak Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Data DTSEN terupdate variabel pendidikan dari Susenas Maret 2025,Identifikasi ketersediaan data variabel pendidikan untuk pemadanan data DTSEN,Set Data,Dir. Kesra,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Data untuk monitoring Program MBG peserta didik jenjang SD-SMA,Penyesuaian kuesioner Susenas untuk pertanyaan terkait Program MBG pada kuesioner Susenas Maret dan September 2025,Set Data,Dir. Kesra,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Variabel pendidikan Susenas 2025 hasil pemadanan dengan Dapodik

Indikator pendidikan Susenas 2025","Pemadanan Dapodik Kemdikdasmen dengan variabel pendidikan Survei Sosial Ekonomi Nasional Maret 2025

Pemanfaatan Dapodik Kemdikdasmen untuk koherensi data susenas indikator pendidikan ",Set Data,Dir. Kesra,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Persentase tersedianya set data terkait fasilitas pendidikan di level desa/kelurahan,Melakukan pengumpulan data Pemutakhiran Data Perkembangan Desa 2025 (Potensi Desa 2025),Set data,Hansos,0.25,0.5,0.75,1,0.315789474,0.684210526,0.842105263,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Persentase diseminasi data pendidikan melalui Website BPS,Diseminasi data pendidikan pada website BPS sesuai jadwal rilis yang ditetapkan,Persentase,DDS,0,0,0,1,0,0,0,100,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Persentase diseminasi data pendidikan melalui Website BPS,46,,,0,0,0,0,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,
