no,rencana_aksi_desc,satuan,indikator_output,periode_tw,target_penyelesaian
1,1. Diskusi dengan MenPANRB untuk penjelasan lebih detail terkait LHE,Kegiatan,Laporan Rencana Tindak Lanjut rekomendasi AKIP BPS 2026,tw1,0
1,2. Benchmarking ke K/L untuk mendapatkan saran masukan proses perencanaan kinerja berbasis results chain,Kegiatan,Laporan benchmarking ke K/L,tw1,0
1,3. Penyusunan reviu Indikator Kinerja Utama 2025-2029,Persen,Draf Reviu Perka IKU 2025-2029,tw1,25
1,4. Perbaikan CSF sehingga keterkaitan logis menjadi lebih jelas,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan CSF BPS,tw1,0
1,5. Perbaikan dokumen pohon kinerja yang konsisten dari tingkat organisasi hingga unit kerja,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan pohon kinerja BPS,tw1,0
1,"1. Penyusunan croscutting kinerja yang memuat peran kontribusi internal BPS dan eksternal BPS, penajaman pada KP dan PN serta Prioritas Presiden (Inpres)",Dokumen,Dokumen Perencanaan Kinerja yang memuat crosscutting kinerja BPS,tw1,0
1,1. Pemeriksaan Kertas Kerja Monitoring Kinerja Unit Kerja dan Satuan Kerja BPS Provinsi,Dokumen,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw1,1
1,"2. Penyesuaian proses bisnis Pembahasan Rapat Monitoring Kinerja Triwulanan telah membahas terkait rencana aksi yg logis terukur serta kejelasan hubungan antara aksi, output, hingga pencapaian outcome",Dokumen,Template notula rapat monitoring kinerja triwulanan,tw1,0
1,1. Penggunaan fitur Perencanaan Kinerja dan sinkronisasi data PK di SINERGI dan Kip App,Persen,Persentase data PK yg disinkronkan dari SINERGI ke KIP APP,tw1,100
1,1. Penyusunan pedoman teknis Pelaporan Kinerja BPS,Dokumen,Dokumen pedoman teknis Laporan Kinerja BPS,tw1,1
1,2. Pemeriksaan substansi LAKIN Unit Kerja dan Satker BPS Provinsi,Dokumen,Dokumen kertas kerja pemeriksaan LAKIN Unit Kerja dan Satker BPS Provinsi,tw1,1
1,3. Pembinaan SAKIP ,Dokumen,Laporan Pembinaan SAKIP,tw1,0
1,1. Penguatan implementasi Manajemen Risiko di BPS,Persen,Laporan pelaksanaan Manajemen Risiko BPS TA 2026,tw1,25
1,1. Diskusi dengan MenPANRB untuk penjelasan lebih detail terkait LHE,Kegiatan,Laporan Rencana Tindak Lanjut rekomendasi AKIP BPS 2026,tw2,1
1,2. Benchmarking ke K/L untuk mendapatkan saran masukan proses perencanaan kinerja berbasis results chain,Kegiatan,Laporan benchmarking ke K/L,tw2,1
1,3. Penyusunan reviu Indikator Kinerja Utama 2025-2029,Persen,Draf Reviu Perka IKU 2025-2029,tw2,50
1,4. Perbaikan CSF sehingga keterkaitan logis menjadi lebih jelas,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan CSF BPS,tw2,0
1,5. Perbaikan dokumen pohon kinerja yang konsisten dari tingkat organisasi hingga unit kerja,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan pohon kinerja BPS,tw2,0
1,"1. Penyusunan croscutting kinerja yang memuat peran kontribusi internal BPS dan eksternal BPS, penajaman pada KP dan PN serta Prioritas Presiden (Inpres)",Dokumen,Dokumen Perencanaan Kinerja yang memuat crosscutting kinerja BPS,tw2,0
1,1. Pemeriksaan Kertas Kerja Monitoring Kinerja Unit Kerja dan Satuan Kerja BPS Provinsi,Dokumen,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw2,2
1,"2. Penyesuaian proses bisnis Pembahasan Rapat Monitoring Kinerja Triwulanan telah membahas terkait rencana aksi yg logis terukur serta kejelasan hubungan antara aksi, output, hingga pencapaian outcome",Dokumen,Template notula rapat monitoring kinerja triwulanan,tw2,0
1,1. Penggunaan fitur Perencanaan Kinerja dan sinkronisasi data PK di SINERGI dan Kip App,Persen,Persentase data PK yg disinkronkan dari SINERGI ke KIP APP,tw2,100
1,1. Penyusunan pedoman teknis Pelaporan Kinerja BPS,Dokumen,Dokumen pedoman teknis Laporan Kinerja BPS,tw2,1
1,2. Pemeriksaan substansi LAKIN Unit Kerja dan Satker BPS Provinsi,Dokumen,Dokumen kertas kerja pemeriksaan LAKIN Unit Kerja dan Satker BPS Provinsi,tw2,1
1,3. Pembinaan SAKIP ,Dokumen,Laporan Pembinaan SAKIP,tw2,1
1,1. Penguatan implementasi Manajemen Risiko di BPS,Persen,Laporan pelaksanaan Manajemen Risiko BPS TA 2026,tw2,50
1,1. Diskusi dengan MenPANRB untuk penjelasan lebih detail terkait LHE,Kegiatan,Laporan Rencana Tindak Lanjut rekomendasi AKIP BPS 2026,tw3,1
1,2. Benchmarking ke K/L untuk mendapatkan saran masukan proses perencanaan kinerja berbasis results chain,Kegiatan,Laporan benchmarking ke K/L,tw3,1
1,3. Penyusunan reviu Indikator Kinerja Utama 2025-2029,Persen,Draf Reviu Perka IKU 2025-2029,tw3,75
1,4. Perbaikan CSF sehingga keterkaitan logis menjadi lebih jelas,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan CSF BPS,tw3,1
1,5. Perbaikan dokumen pohon kinerja yang konsisten dari tingkat organisasi hingga unit kerja,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan pohon kinerja BPS,tw3,1
1,"1. Penyusunan croscutting kinerja yang memuat peran kontribusi internal BPS dan eksternal BPS, penajaman pada KP dan PN serta Prioritas Presiden (Inpres)",Dokumen,Dokumen Perencanaan Kinerja yang memuat crosscutting kinerja BPS,tw3,1
1,1. Pemeriksaan Kertas Kerja Monitoring Kinerja Unit Kerja dan Satuan Kerja BPS Provinsi,Dokumen,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw3,3
1,"2. Penyesuaian proses bisnis Pembahasan Rapat Monitoring Kinerja Triwulanan telah membahas terkait rencana aksi yg logis terukur serta kejelasan hubungan antara aksi, output, hingga pencapaian outcome",Dokumen,Template notula rapat monitoring kinerja triwulanan,tw3,1
1,1. Penggunaan fitur Perencanaan Kinerja dan sinkronisasi data PK di SINERGI dan Kip App,Persen,Persentase data PK yg disinkronkan dari SINERGI ke KIP APP,tw3,100
1,1. Penyusunan pedoman teknis Pelaporan Kinerja BPS,Dokumen,Dokumen pedoman teknis Laporan Kinerja BPS,tw3,1
1,2. Pemeriksaan substansi LAKIN Unit Kerja dan Satker BPS Provinsi,Dokumen,Dokumen kertas kerja pemeriksaan LAKIN Unit Kerja dan Satker BPS Provinsi,tw3,1
1,3. Pembinaan SAKIP ,Dokumen,Laporan Pembinaan SAKIP,tw3,1
1,1. Penguatan implementasi Manajemen Risiko di BPS,Persen,Laporan pelaksanaan Manajemen Risiko BPS TA 2026,tw3,75
1,1. Diskusi dengan MenPANRB untuk penjelasan lebih detail terkait LHE,Kegiatan,Laporan Rencana Tindak Lanjut rekomendasi AKIP BPS 2026,tw4,1
1,2. Benchmarking ke K/L untuk mendapatkan saran masukan proses perencanaan kinerja berbasis results chain,Kegiatan,Laporan benchmarking ke K/L,tw4,1
1,3. Penyusunan reviu Indikator Kinerja Utama 2025-2029,Persen,Draf Reviu Perka IKU 2025-2029,tw4,100
1,4. Perbaikan CSF sehingga keterkaitan logis menjadi lebih jelas,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan CSF BPS,tw4,1
1,5. Perbaikan dokumen pohon kinerja yang konsisten dari tingkat organisasi hingga unit kerja,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan pohon kinerja BPS,tw4,1
1,"1. Penyusunan croscutting kinerja yang memuat peran kontribusi internal BPS dan eksternal BPS, penajaman pada KP dan PN serta Prioritas Presiden (Inpres)",Dokumen,Dokumen Perencanaan Kinerja yang memuat crosscutting kinerja BPS,tw4,1
1,1. Pemeriksaan Kertas Kerja Monitoring Kinerja Unit Kerja dan Satuan Kerja BPS Provinsi,Dokumen,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw4,4
1,"2. Penyesuaian proses bisnis Pembahasan Rapat Monitoring Kinerja Triwulanan telah membahas terkait rencana aksi yg logis terukur serta kejelasan hubungan antara aksi, output, hingga pencapaian outcome",Dokumen,Template notula rapat monitoring kinerja triwulanan,tw4,2
1,1. Penggunaan fitur Perencanaan Kinerja dan sinkronisasi data PK di SINERGI dan Kip App,Persen,Persentase data PK yg disinkronkan dari SINERGI ke KIP APP,tw4,100
1,1. Penyusunan pedoman teknis Pelaporan Kinerja BPS,Dokumen,Dokumen pedoman teknis Laporan Kinerja BPS,tw4,2
1,2. Pemeriksaan substansi LAKIN Unit Kerja dan Satker BPS Provinsi,Dokumen,Dokumen kertas kerja pemeriksaan LAKIN Unit Kerja dan Satker BPS Provinsi,tw4,1
1,3. Pembinaan SAKIP ,Dokumen,Laporan Pembinaan SAKIP,tw4,2
1,1. Penguatan implementasi Manajemen Risiko di BPS,Persen,Laporan pelaksanaan Manajemen Risiko BPS TA 2026,tw4,100
2,1. Melakukan monitoring capaian kinerja BPS triwulanan,kegiatan,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw1,1
2,2. Penyusunan Laporan Kinerja Triwulanan BPS TA 2026,Laporan,Laporan Kinerja Triwulanan BPS TA 2026,tw1,0
2,1. Melakukan monitoring capaian kinerja BPS triwulanan,kegiatan,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw2,2
2,2. Penyusunan Laporan Kinerja Triwulanan BPS TA 2026,Laporan,Laporan Kinerja Triwulanan BPS TA 2026,tw2,1
2,1. Melakukan monitoring capaian kinerja BPS triwulanan,kegiatan,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw3,3
2,2. Penyusunan Laporan Kinerja Triwulanan BPS TA 2026,Laporan,Laporan Kinerja Triwulanan BPS TA 2026,tw3,2
2,1. Melakukan monitoring capaian kinerja BPS triwulanan,kegiatan,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw4,4
2,2. Penyusunan Laporan Kinerja Triwulanan BPS TA 2026,Laporan,Laporan Kinerja Triwulanan BPS TA 2026,tw4,3
3,1. Berkoordinasi dengan Tim Penyusunan Rencana terkait reviu Renstra BPS,Dokumen,Pelaksanaan koordinasi dengan Tim Renstra terkait reviu Renstra BPS,tw1,
3,2. Melakukan pengelolaan risiko di tingkat Lembaga dan Unit Kerja Eselon I yang didalamnya memuat identifikasi risiko fraud ,Laporan,Laporan pengelolaan risiko  ,tw1,
3,3. Evaluasi berkala atas penerapan kebijakan peraturan dilingkungan BPS ,Dokumen,a. Draft regulasi tentang Pengendalian Internal di Lingkungan BPS,tw1,
3,4. Melaksanakan Penilaian Mandiri SPIP BPS,Laporan,Penilaian Mandiri SPIP BPS,tw1,
3,5. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Laporan,Pembinaan SPIP dan Manajemen Risiko,tw1,
3,1. Berkoordinasi dengan Tim Penyusunan Rencana terkait reviu Renstra BPS,Dokumen,Pelaksanaan koordinasi dengan Tim Renstra terkait reviu Renstra BPS,tw2,
3,2. Melakukan pengelolaan risiko di tingkat Lembaga dan Unit Kerja Eselon I yang didalamnya memuat identifikasi risiko fraud ,Laporan,Laporan pengelolaan risiko  ,tw2,
3,3. Evaluasi berkala atas penerapan kebijakan peraturan dilingkungan BPS ,Dokumen,a. Draft regulasi tentang Pengendalian Internal di Lingkungan BPS,tw2,
3,4. Melaksanakan Penilaian Mandiri SPIP BPS,Laporan,Penilaian Mandiri SPIP BPS,tw2,
3,5. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Laporan,Pembinaan SPIP dan Manajemen Risiko,tw2,
3,1. Berkoordinasi dengan Tim Penyusunan Rencana terkait reviu Renstra BPS,Dokumen,Pelaksanaan koordinasi dengan Tim Renstra terkait reviu Renstra BPS,tw3,
3,2. Melakukan pengelolaan risiko di tingkat Lembaga dan Unit Kerja Eselon I yang didalamnya memuat identifikasi risiko fraud ,Laporan,Laporan pengelolaan risiko  ,tw3,
3,3. Evaluasi berkala atas penerapan kebijakan peraturan dilingkungan BPS ,Dokumen,a. Draft regulasi tentang Pengendalian Internal di Lingkungan BPS,tw3,
3,4. Melaksanakan Penilaian Mandiri SPIP BPS,Laporan,Penilaian Mandiri SPIP BPS,tw3,
3,5. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Laporan,Pembinaan SPIP dan Manajemen Risiko,tw3,
3,1. Berkoordinasi dengan Tim Penyusunan Rencana terkait reviu Renstra BPS,Dokumen,Pelaksanaan koordinasi dengan Tim Renstra terkait reviu Renstra BPS,tw4,1
3,2. Melakukan pengelolaan risiko di tingkat Lembaga dan Unit Kerja Eselon I yang didalamnya memuat identifikasi risiko fraud ,Laporan,Laporan pengelolaan risiko  ,tw4,1
3,3. Evaluasi berkala atas penerapan kebijakan peraturan dilingkungan BPS ,Dokumen,a. Draft regulasi tentang Pengendalian Internal di Lingkungan BPS,tw4,1
3,4. Melaksanakan Penilaian Mandiri SPIP BPS,Laporan,Penilaian Mandiri SPIP BPS,tw4,1
3,5. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Laporan,Pembinaan SPIP dan Manajemen Risiko,tw4,1
4,1. Monitoring capaian RO Prioritas Nasional setiap triwulan,Dokumen,Jumlah dokumen monitoring capaian RO Prioritas Nasional,tw1,1
4,1. Monitoring capaian RO Prioritas Nasional setiap triwulan,Dokumen,Jumlah dokumen monitoring capaian RO Prioritas Nasional,tw2,2
4,1. Monitoring capaian RO Prioritas Nasional setiap triwulan,Dokumen,Jumlah dokumen monitoring capaian RO Prioritas Nasional,tw3,3
4,1. Monitoring capaian RO Prioritas Nasional setiap triwulan,Dokumen,Jumlah dokumen monitoring capaian RO Prioritas Nasional,tw4,4
5,1. Evaluasi dan internalisasi kepada tim perencanaan dan pelaksanaan anggaran terkait hasil penilaian Indeks Perencanaan Pembangunan Nasional Tahun 2026 khususnya untuk catatan yang perlu ditindaklanjuti.,Dokumen,Matriks tindak lanjut perbaikan hasil penilaian IPPN 2025,tw1,0
5,2. Peningkatan kualitas dokumen perencanaan BPS,Dokumen,Hasil pemeriksaan dokumen perencanaan BPS,tw1,0
5,1. Evaluasi dan internalisasi kepada tim perencanaan dan pelaksanaan anggaran terkait hasil penilaian Indeks Perencanaan Pembangunan Nasional Tahun 2026 khususnya untuk catatan yang perlu ditindaklanjuti.,Dokumen,Matriks tindak lanjut perbaikan hasil penilaian IPPN 2025,tw2,1
5,2. Peningkatan kualitas dokumen perencanaan BPS,Dokumen,Hasil pemeriksaan dokumen perencanaan BPS,tw2,0
5,1. Evaluasi dan internalisasi kepada tim perencanaan dan pelaksanaan anggaran terkait hasil penilaian Indeks Perencanaan Pembangunan Nasional Tahun 2026 khususnya untuk catatan yang perlu ditindaklanjuti.,Dokumen,Matriks tindak lanjut perbaikan hasil penilaian IPPN 2025,tw3,1
5,2. Peningkatan kualitas dokumen perencanaan BPS,Dokumen,Hasil pemeriksaan dokumen perencanaan BPS,tw3,1
5,1. Evaluasi dan internalisasi kepada tim perencanaan dan pelaksanaan anggaran terkait hasil penilaian Indeks Perencanaan Pembangunan Nasional Tahun 2026 khususnya untuk catatan yang perlu ditindaklanjuti.,Dokumen,Matriks tindak lanjut perbaikan hasil penilaian IPPN 2025,tw4,1
5,2. Peningkatan kualitas dokumen perencanaan BPS,Dokumen,Hasil pemeriksaan dokumen perencanaan BPS,tw4,1
6,1. Kebijakan disusun berdasarkan data dan informasi yang valid (kajian/telaahan/penelitian/analisis kebijakan),Persen,"Laporan Kajian, data statistik",tw1,25
6,2. Pemangku kepentingan terlibat dalam perumusan kebijakan,Persen,"Dokumen konsultasi publik, risalah diskusi",tw1,25
6,3. Analisis dampak kebijakan dilakukan sebelum implementasi,Persen,"Laporan Analisis Dampak Regulasi (Regulatory Impact Assessment (RIA)/ROCCIPI), atau bentuk laporan lainnya yang relevan",tw1,0
6,4. Kebijakan memiliki kejelasan koordinasi dan komunikasi dalam pelaksanaannya,Persen,"Dokumen Bispro/SOP, pedoman/kebijakan teknis implementasi",tw1,25
6,5. Kebijakan dapat diimplementasikan secara efektif di lapangan,Persen,Laporan monitoring dan evaluasi,tw1,0
6,6. Apakah ada mekanisme pengawasan dan akuntabilitas dalam pelaksanaan kebijakan,Persen,"Laporan pengawasan, hasil audit kebijakan",tw1,0
6,7. Kebijakan dievaluasi untuk perbaikan berkelanjutan,Persen,"Laporan evaluasi tahunan, dokumen perubahan kebijakan",tw1,0
6,8. Kebijakan memiliki dampak yang terukur bagi masyarakat,Persen,"Data capaian indikator kebijakan, survei kepuasan masyarakat, survei yang dilakukan oleh lembaga independen",tw1,25
6,9. Kebijakan selaras dengan kebijakan lain yang relevan,Persen,Dokumen analisis keselarasan regulasi,tw1,25
6,10. Informasi kebijakan dapat diakses oleh publik,Persen,"Publikasi kebijakan di situs/media sosial resmi, media massa (advertorial)",tw1,25
6,11. Mekanisme bagi masyarakat untuk memberikan masukan atau mengajukan keberatan,Persen,"Kanal aduan masyarakat, dokumentasi tanggapan terhadap masukan publik",tw1,25
6,1. Kebijakan disusun berdasarkan data dan informasi yang valid (kajian/telaahan/penelitian/analisis kebijakan),Persen,"Laporan Kajian, data statistik",tw2,50
6,2. Pemangku kepentingan terlibat dalam perumusan kebijakan,Persen,"Dokumen konsultasi publik, risalah diskusi",tw2,50
6,3. Analisis dampak kebijakan dilakukan sebelum implementasi,Persen,"Laporan Analisis Dampak Regulasi (Regulatory Impact Assessment (RIA)/ROCCIPI), atau bentuk laporan lainnya yang relevan",tw2,50
6,4. Kebijakan memiliki kejelasan koordinasi dan komunikasi dalam pelaksanaannya,Persen,"Dokumen Bispro/SOP, pedoman/kebijakan teknis implementasi",tw2,50
6,5. Kebijakan dapat diimplementasikan secara efektif di lapangan,Persen,Laporan monitoring dan evaluasi,tw2,0
6,6. Apakah ada mekanisme pengawasan dan akuntabilitas dalam pelaksanaan kebijakan,Persen,"Laporan pengawasan, hasil audit kebijakan",tw2,0
6,7. Kebijakan dievaluasi untuk perbaikan berkelanjutan,Persen,"Laporan evaluasi tahunan, dokumen perubahan kebijakan",tw2,50
6,8. Kebijakan memiliki dampak yang terukur bagi masyarakat,Persen,"Data capaian indikator kebijakan, survei kepuasan masyarakat, survei yang dilakukan oleh lembaga independen",tw2,50
6,9. Kebijakan selaras dengan kebijakan lain yang relevan,Persen,Dokumen analisis keselarasan regulasi,tw2,50
6,10. Informasi kebijakan dapat diakses oleh publik,Persen,"Publikasi kebijakan di situs/media sosial resmi, media massa (advertorial)",tw2,50
6,11. Mekanisme bagi masyarakat untuk memberikan masukan atau mengajukan keberatan,Persen,"Kanal aduan masyarakat, dokumentasi tanggapan terhadap masukan publik",tw2,50
6,1. Kebijakan disusun berdasarkan data dan informasi yang valid (kajian/telaahan/penelitian/analisis kebijakan),Persen,"Laporan Kajian, data statistik",tw3,75
6,2. Pemangku kepentingan terlibat dalam perumusan kebijakan,Persen,"Dokumen konsultasi publik, risalah diskusi",tw3,75
6,3. Analisis dampak kebijakan dilakukan sebelum implementasi,Persen,"Laporan Analisis Dampak Regulasi (Regulatory Impact Assessment (RIA)/ROCCIPI), atau bentuk laporan lainnya yang relevan",tw3,75
6,4. Kebijakan memiliki kejelasan koordinasi dan komunikasi dalam pelaksanaannya,Persen,"Dokumen Bispro/SOP, pedoman/kebijakan teknis implementasi",tw3,75
6,5. Kebijakan dapat diimplementasikan secara efektif di lapangan,Persen,Laporan monitoring dan evaluasi,tw3,100
6,6. Apakah ada mekanisme pengawasan dan akuntabilitas dalam pelaksanaan kebijakan,Persen,"Laporan pengawasan, hasil audit kebijakan",tw3,100
6,7. Kebijakan dievaluasi untuk perbaikan berkelanjutan,Persen,"Laporan evaluasi tahunan, dokumen perubahan kebijakan",tw3,75
6,8. Kebijakan memiliki dampak yang terukur bagi masyarakat,Persen,"Data capaian indikator kebijakan, survei kepuasan masyarakat, survei yang dilakukan oleh lembaga independen",tw3,75
6,9. Kebijakan selaras dengan kebijakan lain yang relevan,Persen,Dokumen analisis keselarasan regulasi,tw3,75
6,10. Informasi kebijakan dapat diakses oleh publik,Persen,"Publikasi kebijakan di situs/media sosial resmi, media massa (advertorial)",tw3,75
6,11. Mekanisme bagi masyarakat untuk memberikan masukan atau mengajukan keberatan,Persen,"Kanal aduan masyarakat, dokumentasi tanggapan terhadap masukan publik",tw3,75
6,1. Kebijakan disusun berdasarkan data dan informasi yang valid (kajian/telaahan/penelitian/analisis kebijakan),Persen,"Laporan Kajian, data statistik",tw4,100
6,2. Pemangku kepentingan terlibat dalam perumusan kebijakan,Persen,"Dokumen konsultasi publik, risalah diskusi",tw4,100
6,3. Analisis dampak kebijakan dilakukan sebelum implementasi,Persen,"Laporan Analisis Dampak Regulasi (Regulatory Impact Assessment (RIA)/ROCCIPI), atau bentuk laporan lainnya yang relevan",tw4,100
6,4. Kebijakan memiliki kejelasan koordinasi dan komunikasi dalam pelaksanaannya,Persen,"Dokumen Bispro/SOP, pedoman/kebijakan teknis implementasi",tw4,100
6,5. Kebijakan dapat diimplementasikan secara efektif di lapangan,Persen,Laporan monitoring dan evaluasi,tw4,100
6,6. Apakah ada mekanisme pengawasan dan akuntabilitas dalam pelaksanaan kebijakan,Persen,"Laporan pengawasan, hasil audit kebijakan",tw4,100
6,7. Kebijakan dievaluasi untuk perbaikan berkelanjutan,Persen,"Laporan evaluasi tahunan, dokumen perubahan kebijakan",tw4,100
